2025-08-22 04:12:58 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-22 04:12:58 | streamlit_app | INFO | 📄 1 files uploaded: ['Test Confluence and Jira Tickets.docx']
2025-08-22 04:12:58 | streamlit_app | INFO | 🚀 Starting RAG Indexing Comparison App
2025-08-22 04:12:58 | streamlit_app | INFO | 📄 1 files uploaded: ['Test Confluence and Jira Tickets.docx']
2025-08-22 04:12:58 | streamlit_app | INFO | 🚀 Run comparison button clicked for query: 'What is the acceptance criteria of AI travel polic...'
2025-08-22 04:12:58 | streamlit_app | INFO | 🔧 Executing 6 configurations: ['openai-1536d_fixed-500c-100o_vector', 'openai-1536d_fixed-500c-100o_bm25', 'openai-1536d_fixed-500c-100o_hybrid_a0.7', 'cohere-1536d_fixed-500c-100o_vector', 'cohere-1536d_fixed-500c-100o_bm25', 'cohere-1536d_fixed-500c-100o_hybrid_a0.7']
2025-08-22 04:12:59 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-100o_vector
2025-08-22 04:12:59 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-100o_vector (run_id: f3339279)
2025-08-22 04:12:59 | rag_pipeline | INFO | 🔪 Chunking completed: 55 chunks in 0.00s
2025-08-22 04:13:00 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:01 | rag_pipeline | INFO | 🔢 Embeddings completed: 55 chunks in 2.10s
2025-08-22 04:13:02 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:06 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 04:13:06 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-100o_vector completed in 7.05s
2025-08-22 04:13:06 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-100o_bm25
2025-08-22 04:13:06 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-100o_bm25 (run_id: 399ea261)
2025-08-22 04:13:06 | rag_pipeline | INFO | 🔪 Chunking completed: 55 chunks in 0.00s
2025-08-22 04:13:08 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:08 | rag_pipeline | INFO | 🔢 Embeddings completed: 55 chunks in 2.01s
2025-08-22 04:13:09 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:11 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 04:13:11 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-100o_bm25 completed in 5.01s
2025-08-22 04:13:12 | streamlit_app | INFO | ⚡ Starting execution for config: openai-1536d_fixed-500c-100o_hybrid_a0.7
2025-08-22 04:13:12 | rag_pipeline | INFO | 📋 Executing config: openai-1536d_fixed-500c-100o_hybrid_a0.7 (run_id: 9354de77)
2025-08-22 04:13:12 | rag_pipeline | INFO | 🔪 Chunking completed: 55 chunks in 0.00s
2025-08-22 04:13:13 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:14 | rag_pipeline | INFO | 🔢 Embeddings completed: 55 chunks in 2.24s
2025-08-22 04:13:15 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-08-22 04:13:19 | httpx | INFO | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-08-22 04:13:19 | streamlit_app | INFO | ✅ Config openai-1536d_fixed-500c-100o_hybrid_a0.7 completed in 6.95s
2025-08-22 04:13:19 | streamlit_app | INFO | ⚡ Starting execution for config: cohere-1536d_fixed-500c-100o_vector
2025-08-22 04:13:19 | rag_pipeline | INFO | 📋 Executing config: cohere-1536d_fixed-500c-100o_vector (run_id: 78b1c643)
